case,mask_id,mode,prompt,dice,gt_pos,pred_pos
s0000,1,structured,mass,0.0005325664376630985,9913,8864
s0000,2,structured,lymph node,0.0,461,336
s0001,1,structured,lesion,0.0,0,8831
s0001,2,structured,lesion,0.0,152,648
s0001,3,structured,calculus,0.0,4,29515
s0002,1,structured,nodule,0.0,62,2773
s0002,2,structured,nodule,0.0,38,432
s0003,1,structured,lesion,0.01609210440243344,12338,2949
s0003,2,structured,lesion,0.0,228,215
s0004,1,structured,lesion,0.001221789747438605,52910,4383
s0004,2,structured,lesion,0.0,45600,258
s0004,3,structured,lesion,0.0,1386,229
s0004,4,structured,cyst,0.0,392,4204
s0004,5,structured,lesion,0.0,34142,42
s0006,1,structured,nodule,0.0,0,1288
s0009,1,structured,hemorrhage,0.0,3040,13438
s0010,1,structured,cyst,0.0,204,1157
s0010,2,structured,tumor,0.0,85,2335
s0012,1,structured,calcification,0.0,153,84319
s0012,2,structured,fracture,0.042884990253411304,4213,9125
s0012,3,structured,lesion,0.0,120217,3310
s0021,1,structured,lesion,0.0,0,2758
s0021,2,structured,lesion,0.0,18,214
s0021,3,structured,lesion,0.0,507,66
s0021,4,structured,lesion,0.0,2946,60
s0024,1,structured,lesion,0.0,6490,3600
s0024,2,structured,lesion,0.0,168,437
s0024,3,structured,cyst,0.0,23,2333
s0024,4,structured,nodule,0.0,0,1463
s0028,1,structured,lesion,0.0,1621,1443
s0028,2,structured,thickening,0.0013956734124214933,664,5068
s0029,1,structured,lesion,0.0,52,2391
s0029,2,structured,lesion,0.0,9,105
s0029,3,structured,lesion,0.0,0,133
s0029,4,structured,lesion,0.0,7,35
s0029,5,structured,lesion,0.010345766403484889,3604,69
s0034,1,structured,mass,0.059738148984198644,49005,6370
s0037,1,structured,nodule,0.0,19,264
s0038,1,structured,lesion,0.0,0,4163
s0038,2,structured,lesion,0.0,0,274
s0038,3,structured,lesion,0.003743075310675251,13230,128
s0040,1,structured,lesion,0.0,256,2556
s0043,1,structured,lesion,0.0008849557522123894,2146,6894
s0044,1,structured,lesion,0.11975377728035815,3867,3281
s0044,2,structured,lesion,0.0,3672,371
s0046,1,structured,emphysema,0.0037105751391465678,786,831
s0046,2,structured,lesion,0.008771929824561403,28,1568
s0046,3,structured,lesion,0.008032128514056224,103,146
s0046,4,structured,calcification,0.0,191,1029
s0046,5,structured,nodule,0.0,384,764
s0046,6,structured,lesion,0.0,1302,57
s0046,7,structured,lesion,0.0,5209,56
s0046,8,structured,lesion,0.0,69,43
s0050,1,structured,lymph node,0.0,36,1636
s0056,1,structured,cyst,0.0,346,4167
s0057,1,structured,lesion,0.034163987138263664,2836,2140
s0057,2,structured,lesion,0.0,754,377
s0057,3,structured,lesion,0.0,1049,142
s0057,4,structured,cyst,0.0,1840,402
s0057,5,structured,lesion,0.0,1391,211
s0058,1,structured,lesion,0.0,914,4242
s0058,2,structured,lesion,0.0,747,182
s0058,3,structured,calcification,0.0,225,3147
s0058,4,structured,lesion,0.0024418270611893133,13721,203
s0058,5,structured,lesion,0.0,8099,131
s0059,1,structured,lesion,0.0,726,2674
s0059,2,structured,lesion,0.0018796992481203006,825,239
s0059,3,structured,lesion,0.0,202,116
s0059,4,structured,cyst,0.0,9211,4892
s0059,5,structured,atelectasis,0.0011114198388441233,1696,5502
s0061,1,structured,lesion,0.0,182,2304
s0061,2,structured,lesion,0.0,488,201
s0061,3,structured,lesion,0.0,75,86
s0061,4,structured,thickening,0.0,20,1367
s0061,5,structured,thickening,0.0,128,82
s0063,1,structured,lesion,0.0,1724,1814
s0063,2,structured,lesion,0.0,668,148
s0063,3,structured,tumor,0.0,3117,7056
s0067,1,structured,lesion,0.0,2031,7886
s0067,2,structured,lesion,0.0,739,514
s0067,3,structured,lesion,0.0,208,259
s0067,4,structured,effusion,0.0,15232,694
s0067,5,structured,effusion,0.0,706,83
s0070,1,structured,lesion,0.005170630816959669,464,1470
s0070,2,structured,lesion,0.0,128,97
s0070,3,structured,lymph node,0.0,1429,331
s0071,1,structured,calcification,0.0,0,4171
s0071,2,structured,lesion,0.0,20,1537
s0071,3,structured,cyst,0.0,26,145
s0071,4,structured,effusion,0.01953488372093023,1991,159
s0071,5,structured,nodule,0.0,354,1900
s0079,1,structured,tumor,0.0,72,5999
s0080,1,structured,lesion,0.0,16,2926
s0080,2,structured,thickening,0.0,262,2079
s0080,3,structured,lesion,0.0,30,399
s0086,1,structured,cyst,0.0,10,1164
s0086,2,structured,lesion,0.0,14,1687
s0089,1,structured,cyst,0.0,0,531
s0089,2,structured,lesion,0.0,0,5801
s0102,1,structured,cyst,0.009993337774816789,1184,4820
s0102,2,structured,lesion,0.0,183,759
s0103,1,structured,lesion,0.0,17,4476
s0108,1,structured,calcification,0.0,0,6960
s0110,1,structured,lesion,0.027818448023426062,5797,2399
s0117,1,structured,calculus,0.0,0,18862
s0117,2,structured,calculus,0.0,31,2899
s0117,3,structured,lesion,0.0,1003,6958
s0119,1,structured,cyst,0.0,2887,1421
s0119,2,structured,calcification,0.0,0,2747
s0120,1,structured,cyst,0.0,1890,1585
s0123,1,structured,lymph node,0.0,579,1093
s0123,2,structured,nodule,0.0,758,734
s0124,1,structured,hematoma,0.0,3335,5130
s0124,2,structured,cyst,0.0,76,14405
s0124,3,structured,nodule,0.0,88,2917
s0124,4,structured,nodule,0.0,1738,376
s0128,1,structured,effusion,0.10802803259073557,10624,6927
s0128,2,structured,atelectasis,0.0,5290,8
s0131,1,structured,calculus,0.0,73,22128
s0132,1,structured,lesion,0.0,169168,1534
s0133,1,structured,lesion,0.0,586,3865
s0137,1,structured,cyst,0.0,218,1607
s0139,1,structured,lesion,0.0,204,3049
s0141,1,structured,lesion,0.0,407,1376
s0141,2,structured,nodule,0.0,0,2923
s0141,3,structured,fracture,0.03650904033379694,1380,4372
s0143,1,structured,nodule,0.0,87,6074
s0143,2,structured,calculus,0.0,0,16276
s0143,3,structured,calcification,0.002929483155471856,90,14247
s0146,1,structured,lesion,0.0,259,2888
s0146,2,structured,calcification,0.0,17398,16688
s0146,3,structured,lesion,0.0,68955,367
s0146,4,structured,opacity,0.0,64111,2091
s0146,5,structured,opacity,0.0,88892,46
s0150,1,structured,fracture,0.01079767849912269,780,6629
s0150,2,structured,cyst,0.0,124,478
s0150,3,structured,cyst,0.0,3797,121
s0150,4,structured,calcification,0.0,0,3183
s0150,5,structured,aneurysm,0.0,1536,4019
s0151,1,structured,thickening,0.0,0,24299
s0151,2,structured,cyst,0.0,64,995
s0152,1,structured,lesion,0.0,234,2427
s0152,2,structured,calcification,0.0,139,1721
s0152,3,structured,lesion,0.0,797,295
s0152,4,structured,effusion,0.002011494252873563,6408,552
s0153,1,structured,lesion,0.0,110890,6542
s0153,2,structured,lesion,0.0,646,335
s0156,1,structured,lesion,0.0,33,2444
s0156,2,structured,lesion,0.0,390,226
s0156,3,structured,lesion,0.008113590263691683,329,164
s0156,4,structured,lesion,0.0010207987750414699,7723,114
s0157,1,structured,lesion,0.04613297150610583,527,1684
s0157,2,structured,lesion,0.0,927,204
s0157,3,structured,lesion,0.0,4465,126
s0158,1,structured,calcification,0.0,16,15614
s0158,2,structured,lesion,0.0,314,4516
s0160,1,structured,fracture,0.0,549,689
s0160,2,structured,lesion,0.0,29,4589
s0160,3,structured,atelectasis,0.0,332,880
s0161,1,structured,cyst,0.0,370,11275
s0161,2,structured,tumor,0.0035813412122840003,4414,6755
s0162,1,structured,thickening,0.004475345640533845,2143,10370
s0162,2,structured,lesion,0.0,55318,1205
s0163,1,structured,lesion,0.0,7719,1258
s0163,2,structured,lesion,0.0,10,87
s0163,3,structured,lesion,0.0,0,73
s0165,1,structured,mass,0.022006472491909384,342,1203
s0166,1,structured,effusion,0.12783384525376626,3917,2920
s0166,2,structured,tumor,0.0,1680,1257
s0167,1,structured,thickening,0.027283061765820387,3939,1339
s0170,1,structured,lesion,0.0,2876,2611
s0171,1,structured,hematoma,0.0006531678641410843,3163,2961
s0171,2,structured,lesion,0.0,291,2278
s0174,1,structured,cyst,0.0,492,29605
s0175,1,structured,lesion,0.0,25,1406
s0178,1,structured,cyst,0.0,928,1092
s0178,2,structured,calcification,0.11705434666094973,1129,8200
s0178,3,structured,lesion,0.0,49,3411
s0178,4,structured,lesion,0.0,720,269
s0178,5,structured,tumor,0.0,922,1177
s0182,1,structured,lesion,0.0,113,6049
s0182,2,structured,lesion,0.0,262,602
s0187,1,structured,lesion,0.0,553,9872
s0190,1,structured,lesion,0.0,834,4954
s0190,2,structured,lesion,0.0,61309,635
s0199,1,structured,fracture,0.0,10115,64
s0212,1,structured,lesion,0.0008802816901408451,953,5863
s0212,2,structured,lesion,0.0,813,562
s0212,3,structured,cyst,0.0,789,3412
s0212,4,structured,lesion,0.0,905,248
s0212,5,structured,lesion,0.0,7372,260
s0212,6,structured,effusion,0.0,21308,740
s0227,1,structured,cyst,0.0,36,1492
s0227,2,structured,cyst,0.0,0,192
s0227,3,structured,lesion,0.10839358692235146,12654,3251
s0241,1,structured,calcification,0.0,13,781
s0241,2,structured,lesion,0.0,4681,1608
s0241,3,structured,emphysema,0.0,45488,68
s0241,4,structured,emphysema,0.0,60488,74
s0241,5,structured,emphysema,0.0,14621,96
s0241,6,structured,emphysema,0.0,52573,11
s0241,7,structured,emphysema,0.0,45954,16
s0248,1,structured,cyst,0.0,18,279
s0248,2,structured,cyst,0.0,346,27
s0248,3,structured,lesion,0.0,15,1262
s0248,4,structured,lesion,0.0,396,165
s0250,1,structured,lesion,0.0,1307,3126
s0250,2,structured,lesion,0.0,16,368
s0250,3,structured,lesion,0.0,53544,185
s0260,1,structured,mass,0.0,32713,4475
s0260,2,structured,lesion,0.0,3058,1745
s0260,3,structured,effusion,0.008998875140607425,1573,205
s0285,1,structured,lesion,0.11009174311926606,876,1304
s0287,1,structured,cyst,0.0,38,583
s0287,2,structured,lesion,0.0,54,954
s0287,3,structured,lesion,0.0,11268,98
s0289,1,structured,lesion,0.00034946706272933774,4640,12529
s0291,1,structured,calcification,0.11789244581481817,4162,17892
s0291,2,structured,lesion,0.0,386,3030
s0291,3,structured,calculus,0.0,15,7434
s0291,4,structured,lesion,0.0,84370,263
s0292,1,structured,lesion,0.0,308,11367
s0307,1,structured,cyst,0.0,27,864
s0307,2,structured,lesion,0.0,502,4304
s0307,3,structured,lesion,0.0,46910,391
s0321,1,structured,lesion,0.07257448433919023,1412,3824
s0321,2,structured,lesion,0.0,55201,411
s0327,1,structured,cyst,0.0,2857,28512
s0327,2,structured,effusion,0.02721143364689733,42385,7153
s0327,3,structured,lesion,0.0,24912,818
s0327,4,structured,cyst,0.0,2705,1425
s0327,5,structured,effusion,0.0016786503651064545,35376,367
s0327,6,structured,lesion,0.0,10590,193
s0327,7,structured,cyst,0.0,40,1244
s0327,8,structured,calcification,0.0,0,47698
s0333,1,structured,lesion,0.0014868046090942882,3021,5050
s0334,1,structured,lesion,0.023455699252952045,9738,2711
s0334,2,structured,effusion,0.002127659574468085,1388,492
s0334,3,structured,lesion,0.0,27364,81
s0336,1,structured,lesion,0.0,0,7137
s0340,1,structured,lesion,0.10530657135001374,762,6512
s0340,2,structured,lesion,0.0,4355,530
s0346,1,structured,mass,0.0,2504,970
s0347,1,structured,calcification,0.0,0,5897
s0347,2,structured,lesion,0.0,16,16501
s0352,1,structured,lesion,0.09242691088411413,965,13230
s0352,2,structured,lesion,0.0,169,920
s0361,1,structured,mass,0.0,2369,11963
s0362,1,structured,lesion,0.0,69,3351
s0362,2,structured,calculus,0.0,0,8193
s0362,3,structured,stone,0.0,17,4103
s0362,4,structured,lesion,0.019202363367799114,26681,399
s0367,1,structured,lesion,0.03478244875060929,104996,3737
s0367,2,structured,lesion,0.001050309841403214,113968,284
s0369,1,structured,calcification,0.0,9,2892
s0369,2,structured,calcification,0.0,103,325
s0369,3,structured,lesion,0.0,299,2751
s0369,4,structured,mass,0.0,762,1178
s0369,5,structured,lesion,0.0,1514,141
s0369,6,structured,lesion,0.0,30488,117
s0370,1,structured,lesion,0.0,42,977
s0370,2,structured,lesion,0.0,14,160
s0370,3,structured,calcification,0.0,0,10786
s0370,4,structured,lesion,0.0,119,51
s0370,5,structured,lesion,0.0,333,41
s0370,6,structured,lesion,0.0,1013,6
s0370,7,structured,lesion,0.000928737274513306,27931,64
s0371,1,structured,mass,0.1745071860519909,6847,5886
s0371,2,structured,lymph node,0.0,408,1231
s0371,3,structured,lesion,0.0,196,2854
s0371,4,structured,cyst,0.0,12,5448
s0371,5,structured,emphysema,0.0,45645,1324
s0371,6,structured,emphysema,0.0,28859,401
s0371,7,structured,lesion,0.0,73090,606
s0375,1,structured,lesion,0.0,186,2730
s0375,2,structured,lesion,0.0,81,152
s0375,3,structured,calculus,0.0,0,2846
s0375,4,structured,tumor,0.0,162,1922
s0375,5,structured,tumor,0.0,52110,214
s0376,1,structured,calcification,0.0,947,3965
s0376,2,structured,calcification,0.0,1162,224
s0376,3,structured,calcification,0.0,214,41
s0376,4,structured,emphysema,0.0,171029,781
s0376,5,structured,emphysema,0.0,98857,214
s0376,6,structured,emphysema,0.0,57226,19
s0376,7,structured,emphysema,0.0,310925,65
s0376,8,structured,emphysema,0.0,169311,17
s0377,1,structured,lesion,0.0,705,1034
s0377,2,structured,lesion,0.0,9804,185
s0377,3,structured,lesion,0.0,32270,41
s0383,1,structured,fracture,0.0,1008,12447
s0383,2,structured,lesion,0.013657853265627736,895,4816
s0383,3,structured,lesion,0.0,1628,300
s0383,4,structured,lymph node,0.0,120,1319
s0383,5,structured,lesion,0.0,4031,115
s0383,6,structured,cyst,0.0,0,8154
s0388,1,structured,lesion,0.0029985007496251873,30162,11859
s0388,2,structured,lesion,0.0,291,551
s0388,3,structured,lesion,0.001813236627379873,740,363
s0389,1,structured,calcification,0.0,757,22732
s0389,2,structured,calcification,0.0,362,2359
s0389,3,structured,calcification,0.0,1432,425
s0389,4,structured,lesion,0.0,1319,9097
s0393,1,structured,lesion,0.0297723292469352,50,1092
s0393,2,structured,lesion,0.0,583,140
s0393,3,structured,calcification,0.0,47,18598
s0393,4,structured,lesion,0.0,63252,34
s0402,1,structured,lesion,0.0,47,2501
s0402,2,structured,cyst,0.0,25,640
s0402,3,structured,mass,0.0,1338,1944
s0402,4,structured,nodule,0.0,53,763
s0402,5,structured,atelectasis,0.0,175,861
s0402,6,structured,calcification,0.0,12,1666
s0402,7,structured,lesion,0.0,285,158
s0402,8,structured,lesion,0.0,122,74
s0402,9,structured,cyst,0.0,0,37
s0402,10,structured,lesion,6.432522835456066e-05,30994,98
s0408,1,structured,lesion,0.08032749153322592,57259,3567
s0410,1,structured,lesion,0.0006983240223463687,298,8294
s0410,2,structured,aneurysm,0.0,30,9221
s0410,3,structured,calcification,0.0,4650,2895
s0411,1,structured,calcification,0.0,199,1816
s0420,1,structured,lesion,0.0,6710,2766
s0421,1,structured,effusion,0.04390192791282481,71023,5329
s0423,1,structured,lesion,0.0,329,2587
s0423,2,structured,lesion,0.0,0,154
s0429,1,structured,lesion,0.0,204,1269
s0431,1,structured,cyst,0.0,20,16859
s0431,2,structured,lesion,0.0,1461,1698
s0431,3,structured,lesion,0.0,301,121
s0436,1,structured,nodule,0.0,71,6738
s0436,2,structured,effusion,0.0,254,2947
s0436,3,structured,lesion,0.0,603,534
s0436,4,structured,thickening,0.0,712,15687
s0440,1,structured,lesion,0.0,26368,1620
s0440,2,structured,lesion,0.0,144,212
s0440,3,structured,abscess,0.0,1358,7908
s0446,1,structured,lesion,0.09229997491848507,432,3555
s0446,2,structured,lesion,0.0,3075,383
s0446,3,structured,cyst,0.0,0,610
s0446,4,structured,calculus,0.0,6,10417
s0447,1,structured,lesion,0.0,13,1589
s0447,2,structured,lesion,0.0,26,81
s0447,3,structured,lesion,0.0,17,59
s0456,1,structured,lesion,0.0,0,3466
s0456,2,structured,lesion,0.0,86,123
s0456,3,structured,lesion,0.0,394,68
s0460,1,structured,lesion,0.0,111,34123
s0461,1,structured,lesion,0.0,8,3253
s0461,2,structured,cyst,0.0,9,788
s0461,3,structured,cyst,0.0,25,79
s0461,4,structured,calcification,0.004368083867210251,15,6853
s0467,1,structured,lesion,0.0,2047,2556
s0467,2,structured,lesion,0.0,1300,362
s0467,3,structured,effusion,0.0009861932938856016,1628,400
s0468,1,structured,cyst,0.0,25,2067
s0468,2,structured,cyst,0.0,400,480
s0468,3,structured,calcification,0.0,10,6043
s0472,1,structured,thickening,0.0,984,7616
s0472,2,structured,cyst,0.0,0,183
s0474,1,structured,lesion,0.00019594396002743216,1091,9116
s0476,1,structured,lesion,0.0,0,3025
s0476,2,structured,cyst,0.0,0,846
s0476,3,structured,lesion,0.0,36,174
s0477,1,structured,calcification,0.0,72,5311
s0477,2,structured,nodule,0.007704160246533128,216,1082
s0477,3,structured,cyst,0.0,0,641
s0477,4,structured,lesion,0.04308797127468582,1437,1905
s0478,1,structured,thickening,0.0,213,884
s0478,2,structured,calcification,0.0,31,60
s0478,3,structured,emphysema,0.0,35249,248
s0478,4,structured,emphysema,0.0,38111,86
s0483,1,structured,lesion,0.0,170,2143
s0483,2,structured,lesion,0.0,427,246
s0483,3,structured,lesion,0.0,109,126
s0483,4,structured,calcification,0.0,12,1720
s0483,5,structured,cyst,0.0,16,4543
s0483,6,structured,effusion,0.0,557,214
s0483,7,structured,lesion,0.0,35303,13
s0483,8,structured,lesion,8.114248620577734e-05,24577,71
s0483,9,structured,lesion,0.0,28407,6
s0483,10,structured,lesion,0.0,10515,22
s0483,11,structured,lesion,0.0,19872,5
s0483,12,structured,lesion,0.0,17832,7
s0484,1,structured,calcification,0.001834862385321101,447,7183
s0484,2,structured,lesion,0.0,257,1941
s0484,3,structured,cyst,0.0,12,3237
s0484,4,structured,lesion,0.0,25,405
s0484,5,structured,emphysema,0.0,24383,1100
s0484,6,structured,emphysema,0.0,28113,141
s0484,7,structured,emphysema,0.0,11691,330
s0484,8,structured,emphysema,0.0,27162,52
s0484,9,structured,emphysema,0.0,31810,217
