template,count
can you segment the area,249
can you identify and segment,116
could you identify and segment,105
where can we find the,97
please identify and segment the,71
can you locate and segment,40
can you segment where the,40
is there any indication of,38
can you please segment the,35
are there any areas in,32
please locate and segment the,32
please identify and segment any,30
in which part of the,28
could you locate and segment,27
are there any regions in,24
is there any evidence of,23
please segment the area where,21
please segment the area with,21
what might be causing the,18
please segment the location of,16
can you identify any potential,16
can you segment the location,16
can you segment the region,15
please segment where the multiple,15
can you segment an area,14
could you segment the area,13
where can we observe the,12
what might be the cause,12
which part of the lung,11
are there any areas that,11
please identify and segment where,11
based on the diagnostic report,11
in which region of the,11
what could be causing the,10
what area in the image,10
are there any areas with,10
could you highlight the region,9
please segment where the high,9
where is the increased transparency,9
please segment and explain the,8
based on medical knowledge can,8
please segment where the increased,8
in which region can we,8
which part of the image,7
please segment where the low,7
can you segment the low,7
please segment the area of,7
please segment where the <lat>,6
where is the high density,6
can you segment and explain,6
what could be the potential,6
please segment where the calcification,6
are there any regions that,6
where does the abnormal lesion,6
can you segment the part,6
what area in the ct,6
can you identify any areas,6
please segment where the small,6
please segment the region where,6
could you please segment the,6
please segment the area that,6
considering general medical knowledge what,6
please segment the region with,5
could you please highlight the,5
given the information about the,5
are there any regions with,5
are there any signs of,5
given the presence of a,5
what part of the image,5
please segment the part of,5
could you segment the part,5
are there any abnormalities in,4
can you identify the area,4
can you segment the round,4
is there a possibility of,4
could you segment the region,4
how does the presence of,4
can you identify where the,4
are there any areas of,4
which part of the lungs,4
please segment the area in,4
where is the lesion located,4
in this ct image can,4
please segment where the patchy,4
considering the diagnostic report please,4
based on the medical report,4
which region in the image,4
what part of the lung,4
are there any abnormal regions,4
considering the medical knowledge about,4
based on the medical knowledge,4
what could be the cause,4
can you segment the affected,4
which area in the image,4
what might be the reason,3
where are the high density,3
can you segment the nodular,3
is there any indication that,3
where is the small amount,3
where is the soft tissue,3
in which vessel can we,3
in this image what might,3
please segment where the cystic,3
are there any potential causes,3
what area may indicate a,3
please segment where the linear,3
where are the multiple calcification,3
in the image can you,3
what abnormality can be observed,3
is there any region in,3
given the presence of multiple,3
what might cause the observed,3
in the context of the,3
where is the area of,3
please locate and segment where,3
where does the reduced density,3
what area might require further,3
could you please identify and,3
please segment where the metal,3
considering the diagnostic report can,3
can you locate the area,3
can you identify a possible,3
given the medical knowledge about,3
where is the area with,3
what region in the image,3
please segment where the aortic,3
which part of the liver,3
can you segment the areas,3
based on the report which,3
based on the given report,3
can you segment the suspected,3
where can you find the,3
where is the small round,3
are there any visible signs,3
is there any part of,3
based on the information provided,3
is there any area in,3
are there any indications of,3
what might cause the presence,3
what is the possible cause,3
could you highlight the area,3
please segment where the fatty,3
can you segment the spot,3
in the image please segment,3
can you segment a potential,3
please segment the region of,3
can you segment the potential,3
can you identify any abnormal,3
given the diagnostic report can,3
is there any abnormality in,3
where is the abnormal dilation,3
what type of abnormality can,3
can you segment the patchy,3
is there any abnormality present,3
can you locate where the,3
please segment the region showing,3
please segment the area affected,3
what could be the reason,2
is there a part of,2
which area in the ct,2
are there any potential complications,2
what area should be further,2
which part of the <lat>,2
considering common medical knowledge what,2
can you segment any potential,2
please segment where the coronary,2
considering the risk factors for,2
are there any postoperative changes,2
could you pinpoint and segment,2
based on the given information,2
can you segment and describe,2
please segment where the round,2
is there any abnormality that,2
can you segment the cystic,2
considering the medical condition described,2
please segment where the possible,2
where is the localized osteosclerosis,2
please segment the region that,2
in what part of the,2
can you segment the linear,2
in which area of the,2
what is the density of,2
please segment where the rib,2
what might explain the presence,2
in the provided ct image,2
can you segment an abnormal,2
can you segment where there,2
can you segment the circular,2
can you identify any abnormalities,2
what area might indicate a,2
which part of the urinary,2
could you segment the location,2
based on medical knowledge which,2
please segment the area showing,2
could you segment the areas,2
please segment where the enlarged,2
how might the presence of,2
which area appears unusual due,2
could you please locate and,2
where is the inguinal canal,2
could you identify the area,2
based on your analysis of,2
what part of the body,2
are there any potential risks,2
given the patient s symptoms,2
given the information provided can,2
what part of the <lat>,2
could you identify any potential,2
is there an area in,2
what could cause an increase,2
where are the multiple round,2
please segment the multiple round,2
in the ct image where,2
where is the increased density,2
considering general medical knowledge can,2
what area should be segmented,2
which areas in the liver,2
could you segment and explain,2
in the context of this,2
what region could be indicative,2
is there an indication of,2
where does the high density,2
in the context of lung,2
are there any fluid filled,2
are there any other abnormalities,2
can you segment the calcified,2
could you highlight the part,2
where does the increased transparency,2
please segment where the gas,2
can you identify a potential,2
which region in the ct,2
where are the small round,2
based on medical knowledge what,2
identify and segment the region,2
where is the linear high,2
please segment where the pleural,2
considering general medical knowledge where,2
where is the fluid accumulation,2
can you segment a possible,2
can you segment the high,2
are there any structures near,2
which region shows signs of,2
is there an abnormal finding,2
where do the non enhancing,2
is there any normal sized,2
where is the low density,2
what could potentially cause the,2
where can emphysema be observed,2
where is the cyst located,2
please identify the location of,2
what part of the lungs,2
can you identify the location,2
where are the widespread circular,2
where are the extensive punctate,2
can you segment the unclear,2
can you identify any possible,2
where does the abnormality appear,1
could you locate the area,1
where do you observe secretions,1
is there any area of,1
where do the atherosclerotic changes,1
are there any regions indicative,1
could you segment the regions,1
given the report can you,1
are there any high density,1
given the report s mention,1
in which organ can you,1
which organ has an abnormal,1
could you highlight the lesion,1
please segment where the scattered,1
are there any nodules that,1
considering the report which regions,1
where is the fibrillar shadow,1
what area is affected by,1
can you identify any structural,1
considering the reported finding which,1
where is the patchy low,1
please segment the area suggested,1
what abnormality is suggested by,1
is it necessary to perform,1
considering common age related spinal,1
where does the patchy high,1
what might cause the patchy,1
where is the catheter course,1
in which regions does the,1
how might a post surgery,1
is there any other similar,1
what type of renal lesion,1
where is the gallbladder not,1
where are the large area,1
which areas in the image,1
what area of the ct,1
given the information provided could,1
where are the strip like,1
what region of the spleen,1
if there are any structures,1
please segment where the calcified,1
are there any potential indicators,1
is there any visible inflammation,1
are there any other round,1
where is the pouch like,1
what abnormality was observed in,1
if there are any potential,1
which part of the abdominal,1
is the lesion found in,1
are there any observable signs,1
what might cause the renal,1
which vessel in the image,1
where is the location of,1
which arterial segment is most,1
can you identify the possible,1
what could be the possible,1
is there any indication in,1
could you locate the region,1
where do the calcified lesions,1
considering the patient s age,1
where can the non enhancing,1
what could cause a low,1
given the provided information please,1
can you segment the specific,1
if there s any suspected,1
can you segment the soft,1
where are the nodular lesions,1
is there any possibility of,1
which area s might indicate,1
can you identify areas with,1
based on medical knowledge where,1
where is the reduced density,1
which area of the liver,1
given the presence of fatty,1
what region could potentially be,1
where does fluid accumulation occur,1
can you segment where fluid,1
where can the postoperative changes,1
given the presence of linear,1
given the presence of calcification,1
what area could potentially benefit,1
are there any specific areas,1
where does the emphysema manifest,1
where does emphysema manifest in,1
please segment the region affected,1
considering the report can you,1
given the diagnosis can you,1
how can emphysema affect the,1
please segment where the prominent,1
in the image where can,1
is there any evidence in,1
what region of the body,1
where are the multiple cysts,1
if there s a risk,1
if the patient eats a,1
considering general knowledge about aortic,1
where is the calcified nodule,1
which part of the cervical,1
is there a change in,1
what area should be examined,1
what type of abnormality does,1
given the presence of seg,1
how does this specific lesion,1
could you identify any regions,1
where do the multiple calcified,1
is there a region that,1
which part of the ct,1
where can we find atherosclerosis,1
what could be causing stenosis,1
how would you identify an,1
where is the l4 vertebral,1
which segment in the image,1
please segment the abnormal region,1
where can the linear low,1
based on the abnormality detected,1
where are the irregular nodules,1
can you segment the suspicious,1
please locate the lung area,1
where are the peripelvic cysts,1
are the peripelvic cysts well,1
are there any renal masses,1
what part of the male,1
where are the multiple rib,1
where does the postoperative cholecystitis,1
what region might require further,1
where can the high density,1
given that atelectasis has been,1
where are the multiple high,1
considering the reported condition please,1
where are the nodular shadows,1
considering general knowledge about arteriosclerosis,1
considering the characteristics described in,1
are there any potential symptoms,1
where are the round low,1
where are the cysts considered,1
what areas might require further,1
in light of the provided,1
based on your analysis could,1
where does the thickening of,1
which area shows signs of,1
what could be causing discomfort,1
what might cause the round,1
where are the metal density,1
where is the small nodular,1
is there any abnormal finding,1
based on the report and,1
please segment where the dilation,1
where is the abnormal lesion,1
based on your medical knowledge,1
what are some possible consequences,1
what could be a potential,1
if the round low density,1
where can the uneven density,1
please segment where the uneven,1
how might this uneven density,1
where is the suspicious lesion,1
are there any potential benign,1
where is the localized dense,1
which part of the aorta,1
what type of plaque might,1
based on the image what,1
are there any visually distinct,1
what part of the spine,1
where does the nodular lesion,1
what area shows an abnormality,1
where is the mild effusion,1
what area could be causing,1
in which joint can the,1
given that the patient has,1
considering the medical context what,1
are there any specific organs,1
where is the localized thickening,1
what shape does the spherical,1
how might the patient feel,1
given the potential risk of,1
in order to evaluate the,1
considering the diagnostic report which,1
given the calcification foci in,1
please segment where the straightening,1
what might cause the changes,1
how could the straightening of,1
is it possible to highlight,1
given that calcification indicates plaque,1
please segment where the pharyngeal,1
is there any possible occupation,1
what part of the ct,1
could you identify a potential,1
please segment the area suggesting,1
based on your analysis which,1
where can we observe incomplete,1
please segment the location with,1
which lung lobe s appear,1
where are the multiple linear,1
what areas in the lungs,1
where are the linear and,1
please segment the linear and,1
what could cause high density,1
what regions within the <lat>,1
where is the increased bone,1
in which region does the,1
which areas suggest the possibility,1
what regions should be closely,1
given the report which part,1
considering the location of the,1
can you segment the fat,1
is there any lesion in,1
what region might indicate an,1
could the observed finding have,1
what area of the lung,1
where are the multiple enlarged,1
are the enlarged lymph nodes,1
what organs might be affected,1
can you identify any anatomic,1
what type of anomaly could,1
in this ct image what,1
where do the calcification foci,1
what part of the liver,1
in the ct image can,1
taking into account common lung,1
what might cause a linear,1
can you highlight the nodules,1
which lung has more nodular,1
considering that lymph node enlargement,1
what part of the arterial,1
what might cause a small,1
where does the abnormality in,1
is there a lesion in,1
please locate the area in,1
what abnormality in the image,1
please segment where the simple,1
is there an abnormality that,1
are there any noticeable lesions,1
can you segment the hematoma,1
please segment where the unclear,1
where is the slightly high,1
what type of lesion is,1
please segment where branch calcification,1
where is the slender <lat>,1
where is the abnormal <lat>,1
how might the slender <lat>,1
are there any similarities between,1
considering the presence of cystic,1
please segment where the reduced,1
please segment where the strips,1
given that chronic foci often,1
which area may cause spinal,1
is there any abnormal lesion,1
where is the ascites accumulation,1
what region shows a small,1
is there any abnormality detected,1
where are the nodular changes,1
is there a possibility that,1
if the nodule was found,1
what indicates potential inflammation or,1
which area could potentially cause,1
where does the lesion appear,1
is there any area that,1
what region could potentially indicate,1
which organ appears to be,1
considering the diagnosis of <lat>,1
where is the circumflex coronary,1
can you locate the lesion,1
given the hardening in the,1
are there any other findings,1
where is the slight expansion,1
is there any correlation between,1
where do the metal shadows,1
is it possible to identify,1
what area of interest should,1
where in the image does,1
given the description of the,1
where does the fat accumulation,1
where is the tubular dense,1
could there be any complications,1
where is the skull defect,1
where are the chronic foci,1
considering the patient s history,1
please segment the affected intervertebral,1
where do the gallstones appear,1
which organ has a potential,1
where does the local dense,1
how could this calcified plaque,1
is there any suspicious area,1
where can we locate the,1
can you differentiate between the,1
where are the spotty high,1
given the report suggesting arteriosclerosis,1
where is the liver cyst,1
in which kidney does the,1
what areas in the image,1
can you highlight the areas,1
based on your observation can,1
can you identify any visually,1
could you segment the remaining,1
considering the postoperative status of,1
in which regions of the,1
please segment where the thickened,1
what abnormal finding suggests an,1
where are the retroperitoneal lymph,1
in this image how might,1
please segment the suspected emphysema,1
can you segment a region,1
based on the provided information,1
given the diagnosis of atherosclerosis,1
is there any known cause,1
what potential symptoms may result,1
what might cause calcification in,1
are there any indicators of,1
can you identify any signs,1
could you highlight the abnormal,1
please segment the grade i,1
which spinal segment shows an,1
what area should be closely,1
how does the degeneration of,1
where is the metal stent,1
what part of the aortic,1
given the patient s history,1
where can we find a,1
is there any vertebral body,1
where is the nodule like,1
can you segment the possible,1
what area shows abnormal thickening,1
which part of the adrenal,1
can you segment the nodule,1
where does the possible adenoma,1
how can one differentiate between,1
please identify where the multiple,1
could you pinpoint the location,1
where do the multiple small,1
what region of the kidney,1
please segment where the sinusitis,1
where is the emphysema lesion,1
where are the multiple metal,1
what region exhibits an abnormal,1
which area might require additional,1
based on medical knowledge and,1
which area of the heart,1
please segment where the liquid,1
if there is an abnormality,1
where is the patchy high,1
what region of the lungs,1
can you identify any benign,1
where is the patchy slightly,1
given the provided diagnostic report,1
considering the report s findings,1
given the catheter position could,1
given the presence of abnormal,1
what could potentially indicate a,1
could you highlight the possible,1
which area s may indicate,1
please segment where multiple calcified,1
could you identify and mark,1
are there any visible abnormalities,1
what is the potential impact,1
considering the diagnosis of fatty,1
what potential risk factors may,1
where are the calcified plaques,1
are there any calcified plaques,1
which areas of the aorta,1
what area shows a cystic,1
given the presence of <lat>,1
please segment the area consistent,1
can you locate the visible,1
which region exhibits emphysema with,1
is there a specific zone,1
can you segment the visible,1
in which lung can the,1
is there any area with,1
where does the degenerative lumbar,1
please segment where l3 spur,1
which area shows changes associated,1
can you identify any regions,1
are there areas in the,1
please segment where the intraluminal,1
where are the intraluminal nodules,1
could the presence of these,1
given the presence of arteriosclerosis,1
in light of the calcification,1
are there any significant abnormalities,1
where is the cystic low,1
where is the linear low,1
is there any sign of,1
can you segment the band,1
given the finding of the,1
where does the increased bone,1
what shape does the abnormal,1
how does the density of,1
what potential health implications could,1
please segment the lymph nodes,1
please segment where the liver,1
is there an irregular non,1
considering common medical knowledge can,1
which organ has multiple high,1
where is the significant enlargement,1
could you segment a potential,1
are there any lesions that,1
could the identified renal cyst,1
where is the local dilation,1
is there any connection between,1
what part of the aorta,1
if we were concerned about,1
is there any inflammation present,1
where does the l5 vertebral,1
what area are we considering,1
considering the information available in,1
where do the mitral and,1
what abnormality is present in,1
if there is any evidence,1
what region in the ct,1
which regions exhibit signs of,1
in the context of cardiovascular,1
can you segment the dilation,1
please highlight the region where,1
if there are any abnormalities,1
please segment the area around,1
what is an indication of,1
in the provided image please,1
given the diagnosis of arteriosclerosis,1
could you highlight the emphysema,1
could you outline the extent,1
considering the description provided can,1
which area might indicate the,1
if there is a mass,1
where can we find multiple,1
where is the suspicious malignant,1
are there any abnormalities that,1
considering the size and shape,1
could you segment the multiple,1
where are the arteriosclerotic changes,1
can you segment the regions,1
where can the adrenal gland,1
can you locate the areas,1
please identify the region where,1
are there any noticeable changes,1
where are the calcification spots,1
which area could require further,1
where is the fullness and,1
where in the liver does,1
which endocrine organ shows signs,1
considering common bone abnormalities can,1
based on the image please,1
what area might be causing,1
could there be an issue,1
please segment where the lip,1
where does suspected cervical spondylosis,1
what structural change might contribute,1
if a treatment involves immobilizing,1
can you identify the part,1
what area should receive further,1
can you segment the small,1
is there any other finding,1
are there any structures in,1
what type of cardiovascular disease,1
please segment where the renal,1
where is the suspected renal,1
are there any potential renal,1
considering the location and characteristics,1
what is the likely cause,1
considering common renal pathologies can,1
what might cause the abnormal,1
please locate and segment any,1
based on the report can,1
if there are regions exhibiting,1
given the observed dilation of,1
where are the multiple low,1
what might be responsible for,1
where does the short stripe,1
could you identify the postoperative,1
considering the provided diagnostic report,1
what part of the endocrine,1
considering the location and appearance,1
which organ might require medical,1
which region of the body,1
how can we identify if,1
where does the clear margin,1
where can we observe possible,1
what area could indicate inflammation,1
please segment the possible cyst,1
which part of the prostate,1
if there is any region,1
given the reported protuberance in,1
please segment where the aneurysm,1
what part of the cardiovascular,1
where are the calcified nodules,1
can you identify an area,1
could you pinpoint the area,1
how might this high density,1
are there any structures that,1
where can the calcified nodules,1
in which area can the,1
given the diagnosis of fatty,1
what abnormal structure suggests a,1
are there any areas suggesting,1
what area shows evidence of,1
based on the reported abnormality,1
which lung lobe displays signs,1
please segment where the incomplete,1
is there a visible pattern,1
which area appears to have,1
where are the lesions located,1
given the presence of bronchiectasis,1
in which region might mucus,1
please segment where the dense,1
could you segment the identified,1
what area might be indicative,1
can you segment the solitary,1
if there is any possible,1
please segment where the circling,1
in this case what area,1
please segment where the compression,1
how could you differentiate between,1
are there any other conditions,1
are there any specific regions,1
is it possible to determine,1
given the presence of coronary,1
are there any non enhancing,1
where do the abnormal nodules,1
could you identify any unusual,1
are there any potential health,1
could you segment the potential,1
in which organ could these,1
where does the inguinal hernia,1
what could cause the slight,1
are there any other common,1
where is the accumulation of,1
is there any possible risk,1
what part of the sternum,1
which part of the sternum,1
given the reported abnormality can,1
could you pinpoint the region,1
what lesion area might indicate,1
where does the pleural effusion,1
in which region can the,1
based on medical knowledge please,1
based on your analysis please,1
can you segment the dense,1
where are the multiple exudates,1
what indicates changes after aortic,1
which region shows a low,1
what area in the thyroid,1
considering common medical knowledge about,1
where are the areas of,1
what areas in the kidneys,1
where is the decreased density,1
can you segment the vertebrae,1
which anatomical structures exhibit unusual,1
where are the atherosclerotic calcification,1
what indicates potential arterial stiffness,1
if there s an area,1
where is the postoperative <lat>,1
in this ct image where,1
where is the emphysema change,1
what region in the lungs,1
what might cause the increase,1
where does the cervical lordosis,1
please segment where the poor,1
what area of the image,1
where is the wedge shaped,1
in which vertebra can we,1
which part of the spine,1
considering medical knowledge can you,1
where is the esophageal hiatal,1
are there any regions showing,1
considering medical knowledge about abdominal,1
where are the enlarged lymph,1
in which region around the,1
considering the image findings which,1
please segment where the local,1
considering the given information can,1
in this case what region,1
where can lip like changes,1
in which location does sequence,1
what might contribute to restricted,1
in this image which area,1
in which area can we,1
given the nature of the,1
what might cause a nodular,1
if there is an accumulation,1
please identify where the pleural,1
could you highlight the potential,1
are there any findings that,1
based on the description what,1
where are the nodules located,1
given the follow up nature,1
what is the size of,1
please segment where the cyst,1
is there an abnormality present,1
what abnormal finding in the,1
is there any identifiable area,1
in which region could normal,1
are there any areas showing,1
considering common lung conditions can,1
where is the herniated cervical,1
where is the cervical spine,1
please segment where the abnormal,1
what is the potential risk,1
please segment the thickening of,1
if there s an infectious,1
which part of the brain,1
where can the postoperative manifestation,1
where does the catheter pass,1
is there any abnormal structure,1
where is the pericardium thickened,1
what might cause pericardial thickening,1
are there any locations in,1
could you segment the indistinct,1
is there a specific location,1
given that the boundary between,1
is there any visible fluid,1
are there any symptoms associated,1
please segment where the minimal,1
given the presence of minimal,1
where can we observe degenerative,1
what areas might indicate possible,1
if there is a correlation,1
please segment where the widespread,1
considering common lung pathologies can,1
where are the <lat> renal,1
are there any other potential,1
can you segment the cyst,1
where can we find pulmonary,1
can you segment a part,1
where are the glassy density,1
what area may require further,1
is there any deviation from,1
where does the possible bone,1
which part of the skull,1
please segment the nodular abnormality,1
which part of the kidney,1
where does the nodular high,1
in this case which part,1
where does the dilation occur,1
can you segment where hydronephrosis,1
what area shows abnormal dilation,1
what could cause the dilation,1
please segment where the consolidation,1
based on your analysis can,1
where is the subpleural inflammation,1
what area should a radiologist,1
please segment the nodules or,1
could you highlight the regions,1
what could lead to discomfort,1
where is the dilation and,1
please segment the affected region,1
is there a visible difference,1
where are the round air,1
can you segment where emphysema,1
considering the report findings where,1
where does the unusual tube,1
in this ct image which,1
where is the dilation of,1
what abnormality can be seen,1
can you segment the fluid,1
which side of the body,1
what might cause the dilation,1
are there any other structures,1
what type of intervention might,1
where are the linear high,1
are there any potential areas,1
please segment the affected area,1
please segment the spot like,1
where are the benign lesions,1
if we were to focus,1
where is the liquid density,1
is there any other lesion,1
how does the location and,1
where is the leaf shaped,1
what region has blurred margins,1
is there an area that,1
can you segment the postoperative,1
what could cause a linear,1
please segment where the sigmoid,1
are there any sections of,1
can you segment the <lat>,1
are there any differences between,1
given the size and shape,1
where does the <lat> renal,1
what region displays a potential,1
considering common locations for benign,1
where is the abnormal lung,1
where is the subcutaneous lesion,1
what region should be segmented,1
which area of the image,1
what regions might indicate potential,1
what type of cyst might,1
given the patient s age,1
what region of the <lat>,1
where can the <lat> parapelvic,1
in which region do the,1
what potential renal related conditions,1
identify and segment the abnormal,1
given your knowledge of medical,1
what part of the chest,1
where is the metal valve,1
what part of the heart,1
can you identify any prosthetic,1
what kind of cardiac surgery,1
where are the calcification foci,1
what type of lesion might,1
can you segment where multiple,1
what might cause an increase,1
can you segment the multiple,1
where can emphysema be found,1
where can we find emphysema,1
can you identify a region,1
please identify and segment multiple,1
which region might have reduced,1
please segment where the catheter,1
in which vessel does the,1
what structure could potentially be,1
if there is any potential,1
please segment the part that,1
could you highlight the circular,1
can you locate the circular,1
where can parapneumonic emphysema be,1
considering common lung conditions where,1
what could cause widespread circular,1
where does the liver parenchyma,1
are there any foreign objects,1
where does the catheter run,1
what is considered as post,1
what is an unusual finding,1
why might there be a,1
where is the pelvic effusion,1
in this image what region,1
which area has unclear edges,1
please segment where the extensive,1
where is the l1 vertebral,1
which spinal region is most,1
could you highlight and segment,1
given that multiple round low,1
could you segment the suspected,1
which renal abnormality appears to,1
are there any significant differences,1
what might indicate an early,1
in this image where would,1
where does the small amount,1
what could cause the accumulation,1
is there any region showing,1
given the general knowledge about,1
please segment where the nodules,1
are there any additional nodules,1
is there a need for,1
what type of abnormality is,1
what abnormality is observed in,1
considering the characteristics of the,1
where are the cysts located,1
what is the appearance of,1
are there any additional observations,1
could you differentiate between benign,1
where is the common bile,1
what might cause the absence,1
could the dilation of the,1
please segment where the focal,1
what potential risk factors could,1
how might this focal point,1
where is the atrophied <lat>,1
what might have caused the,1
if there are any functional,1
where is the renal failure,1
can you segment an abnormality,1
what area would require further,1
where is the degenerative change,1
which anatomical structure is likely,1
please segment where the cervical,1
given the provided report could,1
where is the <lat> lower,1
what abnormal finding could be,1
are there any other areas,1
which regions in the image,1
could these high density shadows,1
what area of the <lat>,1
in this image what renal,1
what might have led to,1
where is the abnormal area,1
where are the visible high,1
what part of the skull,1
if there are any areas,1
can you show me the,1
are there any known medical,1
where is the abnormality located,1
could you identify the unclear,1
considering the possibility of malignancy,1
are there any anatomical structures,1
where does the uneven thickening,1
where do you suspect omental,1
what abnormality stands out in,1
which abdominal region might require,1
what could cause a spot,1
could there be any clinical,1
what is the location of,1
where are the suspected renal,1
considering common medical knowledge where,1
is there a specific area,1
where are the fine reticular,1
what areas might indicate an,1
which area could potentially represent,1
where is the thickening of,1
in this image where can,1
is there a significant change,1
where is suspected cervical spondylosis,1
which region might experience compromised,1
in the context of spinal,1
please segment where the iliac,1
where can the irregular thickening,1
in which vessels do you,1
where does the irregularity in,1
which region may require further,1
where is the metallic shadow,1
what is the cause of,1
where is the non enhancing,1
can you segment and identify,1
what area of the kidney,1
what might cause the streaky,1
can you segment the sigmoid,1
